Date,Open,High,Low,Close,Adj Close,Volume
2022-07-12,0.026247,0.026692,0.024854,0.025071,0.025071,637380
2022-07-13,0.025071,0.025161,0.023086,0.023985,0.023985,548364
2022-07-14,0.023985,0.024840,0.022920,0.023870,0.023870,568882
2022-07-15,0.023870,0.024165,0.022683,0.023376,0.023376,635662
2022-07-16,0.023376,0.024151,0.022966,0.023320,0.023320,553334
2022-07-17,0.023320,0.023878,0.023061,0.023749,0.023749,654546
2022-07-18,0.023749,0.023912,0.023047,0.023240,0.023240,629938
2022-07-19,0.023239,0.024015,0.023028,0.023960,0.023960,612974
2022-07-20,0.023960,0.024161,0.023014,0.023876,0.023876,619320
2022-07-21,0.023876,0.023909,0.023009,0.023372,0.023372,678551
2022-07-22,0.023375,0.023815,0.022044,0.022405,0.022405,568704
2022-07-23,0.022405,0.022716,0.021068,0.021931,0.021931,581162
2022-07-24,0.021931,0.021981,0.021036,0.021137,0.021137,596643
2022-07-25,0.021137,0.021377,0.019497,0.020076,0.020076,581418
2022-07-26,0.020076,0.020094,0.018950,0.019861,0.019861,632108
2022-07-27,0.019861,0.020191,0.019508,0.020077,0.020077,709225
2022-07-28,0.020078,0.020663,0.019597,0.019911,0.019911,580650
2022-07-29,0.019911,0.021318,0.019685,0.020764,0.020764,644838
2022-07-30,0.020764,0.021835,0.020745,0.021381,0.021381,581047
2022-07-31,0.021381,0.021801,0.020930,0.021226,0.021226,589035
2022-08-01,0.021226,0.021307,0.020892,0.020968,0.020968,588879
2022-08-02,0.020968,0.020971,0.019938,0.020330,0.020330,577391
2022-08-03,0.020330,0.020589,0.019958,0.020187,0.020187,538304
2022-08-04,0.020187,0.020970,0.020008,0.020625,0.020625,596350
2022-08-05,0.020625,0.021775,0.020512,0.021453,0.021453,614495
2022-08-06,0.021454,0.021784,0.021030,0.021724,0.021724,610360
2022-08-07,0.021724,0.021767,0.021094,0.021733,0.021733,597882
2022-08-08,0.021733,0.021766,0.021013,0.021609,0.021609,577200
2022-08-09,0.021609,0.021609,0.019208,0.019831,0.019831,600179
2022-08-10,0.019831,0.019835,0.018080,0.018526,0.018526,554624
2022-08-11,0.018526,0.018805,0.017404,0.017404,0.017404,473620
2022-08-12,0.017404,0.017891,0.016534,0.016577,0.016577,507703
2022-08-13,0.016577,0.017510,0.016028,0.016039,0.016039,599802
2022-08-14,0.016039,0.016829,0.015886,0.016000,0.016000,608020
